feature,gain,gain_pct
WD_97_cos,7714.494918079581,59.64
WD_35_cos,1774.0349830649793,13.72
WD_97_sin,1659.9753582375124,12.83
WD_35_sin,704.5252038806211,5.45
shear_alpha,350.88532829657197,2.71
WS_100_mean,286.5369066596031,2.22
WS_69W_mean,236.05005910806358,1.83
WS_38W_mean,207.58173542609438,1.6
