target,val_r2,test_r2,test_rmse,test_mae,best_iter,n_features,feature_set
湍流強度 TI = σ/U,0.8133310206414504,0.7807122600842966,0.025643114240484016,0.017355353050640367,2214,8,core8
3 秒陣風因子 gust/U,0.7576814890108267,0.7482748948931095,0.06345333316606319,0.0432731506951024,632,8,core8
p99 / U,0.77136897416087,0.7573479022857855,0.055420550159450924,0.03777550032996063,758,8,core8
