feature,gain,gain_pct
WD_97_cos,1545.5016287361213,56.59
WD_35_cos,389.9052054306085,14.28
WD_97_sin,355.1239181455894,13.0
WD_35_sin,170.48747195086617,6.24
shear_alpha,96.66231904983579,3.54
WS_69W_mean,59.39509640014148,2.17
WS_38W_mean,57.243692720570834,2.1
WS_100_mean,56.96988580544712,2.09
