feature,gain,gain_pct
WD_97_cos,6197.8323356129695,59.15
WD_35_cos,1437.0011092228815,13.72
WD_97_sin,1367.529973485507,13.05
WD_35_sin,588.3841156219132,5.62
shear_alpha,297.0400646645576,2.84
WS_100_mean,217.98375889053568,2.08
WS_69W_mean,187.73145482176915,1.79
WS_38W_mean,183.8201449199114,1.75
