Horizon,Step,Recursive_RMSE,Recursive_MAE,Recursive_R2,Direct_RMSE,Direct_MAE,Direct_R2
10min,1,0.33861504302167017,0.1345833612234248,0.9746841802444951,0.34965542550253115,0.13415895454599613,0.972006812818013
1h,6,0.7749787538589752,0.5120024656104082,0.8635921441493866,0.6482172343464293,0.3387716523509951,0.9041809730459414
6h,36,1.7191661119434587,1.127761333709231,0.317362018615706,1.140757504625871,0.7366734551891165,0.7073204742776691
24h,144,1.9956696613800158,1.3338752267328566,0.10114698453097326,1.5932190987869281,1.2167241961907778,0.42551023845070424
