Horizon,Quantile,Alpha,Pinball_Loss
10min,P10,0.1,0.03687884816168128
10min,P50,0.5,0.07246287546562726
10min,P90,0.9,0.13282765074003283
1h,P10,0.1,0.09825477647314869
1h,P50,0.5,0.19253451790050966
1h,P90,0.9,0.1121054709115604
6h,P10,0.1,0.2275251967666461
6h,P50,0.5,0.4660894993324728
6h,P90,0.9,0.1902556873695092
24h,P10,0.1,0.30709822637978235
24h,P50,0.5,0.8324116947957432
24h,P90,0.9,0.2739286537120757
