Step,Minutes,RMSE_MW,MAE_MW,R2,N_samples
98,980,1.999869028819789,1.3876092306830552,0.042793250476667044,898
99,990,1.9834278957296916,1.3708109763503076,0.057279656434768844,898
100,1000,2.006941570076191,1.3909403532876052,0.04172592977120504,898
101,1010,2.001408964475252,1.3837993685063041,0.0484390285212325,898
102,1020,2.012071560439649,1.3893684965651287,0.04195977085552316,898
103,1030,1.997660478404905,1.3768290455135748,0.055557258828039635,898
104,1040,1.9975852512963836,1.3714447776350804,0.06185783216775731,898
105,1050,2.000345846542478,1.373609908063297,0.06225686397777408,898
106,1060,2.0146814392012242,1.3834835885899812,0.053163689783643164,898
107,1070,2.0263728927073736,1.3912758079024081,0.046173943822370944,898
108,1080,2.029443667031035,1.388605170758992,0.04857485812333451,898
109,1090,2.0088261902484903,1.372480645133559,0.0644520523692087,898
110,1100,2.0146009679760364,1.3807225941157817,0.05745274089550245,898
111,1110,1.9893328039360403,1.3621314984586361,0.08088778177142886,898
112,1120,1.9790478182515934,1.35290153046861,0.08708888497665257,898
113,1130,1.980020978585623,1.3516035316518664,0.0845083287106364,898
114,1140,1.9550887366024317,1.3288758778086749,0.10026523709515356,898
115,1150,1.990314398213228,1.354133146568921,0.06880068829135455,898
116,1160,1.9786434257304237,1.3415349837447925,0.08639585121452387,898
117,1170,1.9437881234884606,1.3172957898441557,0.11379114671199964,898
118,1180,1.9522024913533789,1.3218627597799124,0.11140042334666311,898
119,1190,1.95453740737918,1.3248725117212683,0.10551524913908528,898
120,1200,1.9852710075038227,1.3445271033613702,0.08550757355963401,898
121,1210,1.974656475569458,1.3318455272135052,0.09952282923925793,898
122,1220,1.9788867198349278,1.3454995630712496,0.08042561808707949,898
123,1230,1.9296692202499173,1.307859235080489,0.11533673273956335,898
124,1240,1.9617479679897443,1.3323549835022794,0.08721676835442904,898
125,1250,1.951849726071514,1.3264595924153029,0.0973419321910921,898
126,1260,1.950578690381731,1.3236727039580949,0.10522374321315398,898
127,1270,1.9360162235279683,1.3112628380701516,0.11813468251768566,898
128,1280,1.9401178409162758,1.3107959292048943,0.12127552588496815,898
129,1290,1.9222382292864701,1.2967075100899208,0.13898545787957506,898
130,1300,1.9378813539320117,1.310207215858743,0.12953026139414736,898
131,1310,1.9159227890994737,1.2833731640372104,0.1517560545278529,898
132,1320,1.9029120603104086,1.282917921765486,0.1537861900312063,898
133,1330,1.9061361677004955,1.2842407312807604,0.1464329525111855,898
134,1340,1.9133731727706296,1.2902196647423,0.13750385154927158,898
135,1350,1.901148667354878,1.2703238581353036,0.14681037607144476,898
136,1360,1.937655505049794,1.301369084027343,0.12006341670405352,898
137,1370,1.9221340296241227,1.2860860706570032,0.1356800664646166,898
138,1380,1.9098512867174373,1.276322500005294,0.15254646375531455,898
139,1390,1.9358284337797784,1.30014344925081,0.12996311039910613,898
140,1400,1.9399631421097159,1.294607582115349,0.13072226825485045,898
141,1410,1.9489561349688398,1.3092823940138867,0.12537438489253827,898
142,1420,1.9665827431348493,1.316276981741947,0.11472548188268517,898
143,1430,1.9859671644896117,1.3274952865889083,0.10335583865795095,898
144,1440,1.9956696613800158,1.3338752267328566,0.10114698453097326,898
