Horizon,Shift,RMSE_MW,MAE_MW,R2,Skill_Score_%,Coverage_90%,Avg_Interval_Width_MW,Conformal_HalfWidth_MW,Winkler_Score
10min,1,0.4636570059999001,0.17840082409825128,0.9519033844090796,2.0481405983208245,0.8861564111915803,0.5407331042856502,0.3423204637143577,2.139884904560656
1h,6,0.849155571013033,0.47606693387358934,0.8393506533039552,3.6525858567668434,0.885724736127077,1.7040251096910384,1.1517932351736602,3.818047325151846
6h,36,1.534822338197449,1.0905680454018976,0.4817291905123513,9.961768367217106,0.853064251284496,3.310168064984958,2.3058375082653684,5.76396223293281
24h,144,2.2638580420962837,1.7804826730575563,-0.1281816300454739,-3.956503407201706,0.8354352678571428,4.517426510649206,3.4752040715136263,6.294820736319229
