Horizon,P50_RMSE_MW,P50_MAE_MW,P50_R2,P50_Skill_%,CRPS_approx,Sharpness_MW,Actual_below_P10,Actual_below_P50,Actual_below_P90
10min,0.3762864562089296,0.12180427055541558,0.9675803009449114,7.500127629988662,0.07403321642932163,1.4785569453023357,0.0830921514565102,0.3709348723305876,0.6836949634373983
1h,0.6842565876063141,0.29568700268903364,0.8932301620476303,10.48165705401507,0.11296570421653714,1.5805199589090053,0.10223510643772407,0.38439370808103335,0.6775820368114998
6h,1.199837968369112,0.638219728359884,0.6762193613722545,23.637821783793246,0.2104050891344933,2.343389938427482,0.10789496490163793,0.4186324638183551,0.6594852240228789
24h,1.6736224013396939,1.0769539458805708,0.36606278752179133,14.978027321190112,0.34342722623761235,4.706922508616411,0.12754862689906535,0.4673775756919635,0.6990725704593843
