Horizon,Interval_RMSE,Interval_R2,Interval_Coverage,Interval_Width,Interval_Winkler,Interval_Skill,Quantile_P50_RMSE,Quantile_P50_R2,Quantile_CRPS,Quantile_Sharpness,Quantile_P50_Skill,Recursive_RMSE,Recursive_R2,Direct_RMSE,Direct_R2
10min,0.3499497997099977,0.9719596581594064,0.9160344561848168,0.5535574416216048,1.5190095496243603,13.97428401963927,0.3762864562089296,0.9675803009449114,0.0740332164293216,1.4785569453023355,7.500127629988662,0.3386150430216701,0.9746841802444952,0.3496554255025311,0.972006812818013
1h,0.6504851242862911,0.903509324292676,0.9288642640273084,1.665555559171073,2.8145000991977747,14.89983218016957,0.6842565876063141,0.8932301620476303,0.1129657042165371,1.580519958909005,10.48165705401507,0.7749787538589752,0.8635921441493866,0.6482172343464293,0.9041809730459414
6h,1.144733898822206,0.7052765034319934,0.9250541641390068,3.158835478671332,4.424947612784818,27.14485097449194,1.199837968369112,0.6762193613722545,0.2104050891344933,2.343389938427482,23.63782178379325,1.7191661119434587,0.317362018615706,1.140757504625871,0.7073204742776691
24h,1.599761345841125,0.4207824886562343,0.9253725957201112,4.206058930334423,5.078457317504183,18.73025520580765,1.673622401339694,0.3660627875217913,0.3434272262376123,4.706922508616411,14.978027321190112,1.995669661380016,0.1011469845309732,1.593219098786928,0.4255102384507042
