Horizon,Window_Hours,Energy_Coverage_90%,Energy_Avg_Width_MWh
10min,0.16666666666666666,0.9160344561848167,0.1082140063068606
1h,1.0,0.9288642640273085,1.958090241175021
6h,6.0,0.9250541641390069,21.880193400317573
24h,24.0,0.9253725957201111,116.03691744278952
