task,split,R2,RMSE,MAE,nRMSE,mean_y,n
A_power,train,0.9272946410141977,0.10853470602797402,0.06646222343234351,0.2081324406401553,0.5214694340495533,116329
A_power,val,0.8476043605504489,0.14961793986909855,0.09273008544410358,0.26469922929853723,0.5652375349395298,44310
A_power,test,0.8892994971408623,0.13281100632661183,0.08161008200136119,0.25254122508522564,0.5258983212811762,71874
B_turbTI,train,0.8201686854464677,0.01938211113510531,0.01351172959350405,0.25821213054271375,0.07506274431943893,116329
B_turbTI,val,0.7752964551565675,0.025281157337891675,0.016311417466295223,0.3158736790981021,0.08003565669059753,44310
B_turbTI,test,0.7592990415488461,0.02707472157993424,0.01739078719777467,0.33066732771706386,0.08187903463840485,71874
