feature,gain
WS_100W_mean,13844284.927307129
WS_38W_mean,5121540.101791382
hour_sin,2350067.262527466
P_now,1578016.5692443848
WS_100_mean,920202.0113525391
ws_rmax_60,830631.2091827393
doy_sin,587225.4445495605
doy_cos,545378.7426452637
WD_97_sin,445210.02505493164
hour_cos,339067.59538269043
WS_100E_mean,331226.621673584
WD_97_cos,327205.92657470703
AT_95_mean,324553.46600341797
RH_95_mean,294783.8623046875
air_density,242469.86251831055
BP_93_mean,212407.6060180664
ws_rmax_360,205767.41040039062
WS_100E_std,194965.38534545898
ws_rmin_360,170977.87771606445
ws_rmax_180,133339.0798187256
ws_slope_360,126449.98881530762
ws_rmean_360,111839.6100769043
ws_rstd_180,88857.35578918457
WS_69W_mean,73879.13143920898
ws_rstd_360,64280.20622253418
ws_rmean_180,50531.64294433594
ws_rstd_60,41485.77005004883
ws_rmin_180,41259.507232666016
ws_slope_60,39471.84100341797
WS_100E_gust_factor,39148.394134521484
WD_97_sigma,31671.676849365234
ws_diff_180,30485.903076171875
shear_alpha,26372.811935424805
ws_diff_60,17088.7049407959
ws_slope_180,16023.06820678711
ws_rmean_60,11574.450988769531
ws_lag10,9482.906005859375
ws_rmin_60,9394.210968017578
ws_lag180,5226.566986083984
WS_100E_ti,3215.0850524902344
ws_lag120,1361.3309936523438
ws_lag60,602.5150146484375
ws_lag20,0.0
ws_lag30,0.0
