feature,gain
P_now,112634.99711856246
WS_100W_mean,22172.439476802945
WS_100_mean,12177.130970492959
WS_69W_mean,8449.865023940802
WS_100E_mean,7439.780897021294
WS_38W_mean,1619.4386277645826
hour_cos,851.0455791354179
hour_sin,799.5633619874716
WD_97_sin,524.6571967303753
ws_rmean_60,445.66199737787247
WD_97_cos,439.7739429175854
WS_100E_gust_factor,430.7262089550495
doy_cos,394.6762139201164
ws_rmin_60,347.0961624234915
AT_95_mean,316.87623937428
RH_95_mean,301.89424662292004
WS_100E_std,266.2121739089489
doy_sin,263.7061335295439
BP_93_mean,254.24424649775028
ws_rmax_180,249.39147207140923
ws_rmin_180,236.88655757904053
air_density,225.98782478272915
ws_slope_360,222.94089783728123
ws_rmean_360,207.11658790707588
ws_rmax_360,193.6515817940235
ws_rmin_360,193.16013588011265
ws_rmax_60,189.8256702274084
ws_rstd_180,162.09397673606873
WD_97_sigma,147.53854086995125
ws_rmean_180,137.20321787893772
ws_rstd_60,131.726168602705
ws_rstd_360,125.73636524379253
shear_alpha,122.55679114162922
ws_lag10,87.21774792671204
ws_slope_180,83.73442013561726
ws_slope_60,74.40978993475437
ws_lag20,72.34176306426525
ws_lag120,67.07030646502972
ws_lag30,66.15854609012604
ws_diff_60,65.48609103262424
ws_lag60,58.477185130119324
WS_100E_ti,55.84557627141476
ws_lag180,54.00818905234337
ws_diff_180,51.54374784231186
