feature,gain
WS_100W_mean,59163.11925005913
P_now,23458.9908516407
hour_sin,14207.648139834404
WS_100_mean,5315.126961708069
WS_38W_mean,4397.567732334137
doy_cos,3253.008437395096
WD_97_sin,3233.316542863846
doy_sin,3159.530526995659
ws_rmax_60,2870.703182220459
WD_97_cos,2708.227254152298
hour_cos,2675.2711107730865
AT_95_mean,1999.0682563781738
air_density,1584.818698644638
ws_rmax_360,1571.9566406011581
ws_rmin_360,1495.5390183925629
RH_95_mean,1474.2358140945435
BP_93_mean,1455.893437743187
WS_100E_std,1290.0978677272797
ws_rmean_360,845.5681909322739
ws_rmax_180,660.4709901809692
WS_69W_mean,621.3999974727631
WS_100E_mean,612.6791932582855
ws_slope_360,600.0207002162933
ws_rstd_360,521.1336126327515
ws_rstd_180,508.4851392507553
ws_rmean_180,486.31254267692566
ws_rmin_180,400.63102102279663
WD_97_sigma,317.8494610786438
WS_100E_gust_factor,258.85640025138855
shear_alpha,232.2410695552826
ws_diff_180,230.74593949317932
ws_rstd_60,220.51198935508728
ws_slope_60,202.3395003080368
ws_slope_180,175.97728741168976
ws_diff_60,108.04779994487762
ws_rmin_60,81.7890305519104
ws_rmean_60,65.07301998138428
ws_lag180,63.88425040245056
WS_100E_ti,45.22871923446655
ws_lag120,27.494269847869873
ws_lag30,11.595999717712402
ws_lag10,6.793540000915527
ws_lag60,6.445610046386719
ws_lag20,2.7904601097106934
