feature,gain
WS_69W_mean,16862270.66344261
WS_100W_mean,5856776.184474945
WS_100E_mean,3923639.2476844788
WS_100_mean,1801431.4275665283
P_now,1577760.601009369
WS_38W_mean,1525109.9340000153
ws_rmax_60,187829.0348968506
hour_sin,94016.90957450867
hour_cos,86309.5914554596
WS_100E_gust_factor,55950.10127067566
WD_97_sin,52468.6156539917
WD_97_cos,52053.402475357056
ws_rmax_180,43056.57844161987
WS_100E_std,41477.71096992493
doy_sin,32225.669454574585
doy_cos,31060.408742904663
ws_rmin_60,30628.578456878662
ws_rmean_60,28884.06520652771
AT_95_mean,28247.014665603638
RH_95_mean,25833.111785888672
air_density,22681.786651611328
ws_lag10,22394.82631111145
ws_slope_360,19981.744701385498
BP_93_mean,16815.991649627686
ws_rmin_360,15916.004497528076
WD_97_sigma,14251.755550384521
ws_rmin_180,13759.58139038086
ws_rmax_360,13392.486400604248
shear_alpha,12909.30553817749
ws_rmean_360,12323.384746551514
ws_rstd_180,11946.779134750366
ws_slope_60,11526.411069869995
ws_rstd_60,11407.967296600342
ws_rstd_360,11380.090705871582
ws_slope_180,11379.8473777771
ws_diff_60,9083.927028656006
ws_lag20,8717.354259490967
ws_rmean_180,7523.444561004639
ws_diff_180,6371.342174530029
WS_100E_ti,4780.614814758301
ws_lag120,4069.279529571533
ws_lag180,3103.780605316162
ws_lag60,2958.5456104278564
ws_lag30,2509.596487045288
