feature,gain
WS_69W_mean,10616046.981004715
WS_100_mean,8136872.372919083
WS_100W_mean,6208063.783581734
WS_100E_mean,5470320.0427827835
P_now,1589425.796092987
WS_38W_mean,496202.6786060333
WD_97_cos,41284.60826396942
ws_lag10,39642.86344623566
WS_100E_gust_factor,38858.50001811981
WS_100E_std,36087.80025100708
hour_sin,32712.8160238266
hour_cos,31259.109419822693
WD_97_sin,29109.52855682373
ws_rmax_60,26837.631825447083
ws_slope_360,17422.366490364075
ws_rmin_60,16788.573236465454
ws_rmean_60,13573.174140930176
doy_sin,13255.20645236969
doy_cos,11572.549367904663
ws_rmax_180,11329.320247650146
shear_alpha,11072.834248542786
AT_95_mean,11036.573170661926
WD_97_sigma,10366.204409599304
air_density,9879.067337989807
RH_95_mean,9314.775925636292
ws_rmin_360,8365.357091903687
BP_93_mean,7564.711675643921
ws_rstd_60,7440.392032623291
ws_slope_180,7373.482485771179
ws_slope_60,6675.710828781128
ws_diff_60,6186.590287208557
ws_rmax_360,6123.643309593201
ws_lag20,6099.687143325806
ws_rstd_180,5531.103691101074
ws_rmean_360,5369.104307174683
ws_rmin_180,5342.601309776306
ws_diff_180,4995.930914878845
WS_100E_ti,4599.902505874634
ws_rstd_360,3883.3090963363647
ws_rmean_180,3320.2690935134888
ws_lag30,3251.1546602249146
ws_lag120,2605.3679943084717
ws_lag180,2052.8195028305054
ws_lag60,1282.3140869140625
