feature,gain
WS_100W_mean,52045.003073215485
P_now,33548.44405949116
hour_sin,14254.73376095295
WS_38W_mean,3773.32728767395
WD_97_sin,3499.858061671257
doy_cos,3419.325878381729
WS_100_mean,3393.2026257514954
doy_sin,3221.8894957304
WD_97_cos,2746.83691239357
ws_rmax_60,2602.8113651275635
hour_cos,2592.165349960327
AT_95_mean,2084.8736844062805
ws_rmax_360,1687.8116136789322
air_density,1660.0266424417496
BP_93_mean,1644.6519784927368
ws_rmin_360,1475.0927019119263
RH_95_mean,1470.206926703453
WS_100E_std,1386.9130644798279
ws_rmean_360,967.5754045248032
ws_rmax_180,706.6379158496857
WS_100E_mean,627.0306590795517
ws_rstd_360,572.8207974433899
ws_slope_360,560.2165179252625
ws_rmin_180,513.7971618175507
ws_rmean_180,499.1656620502472
ws_rstd_180,452.40538942813873
ws_diff_180,314.73770785331726
WD_97_sigma,286.47717821598053
shear_alpha,285.6384402513504
WS_100E_gust_factor,230.1374490261078
ws_rstd_60,225.77063071727753
ws_slope_60,204.37045896053314
ws_slope_180,149.1724488735199
ws_diff_60,143.50174951553345
WS_69W_mean,137.9510885477066
ws_rmin_60,121.67352986335754
ws_lag180,91.44552993774414
ws_rmean_60,59.133960247039795
ws_lag10,53.14043045043945
ws_lag60,36.926109313964844
ws_lag30,35.01774001121521
WS_100E_ti,28.70515012741089
ws_lag20,21.36390972137451
ws_lag120,21.199230432510376
