feature,gain
WS_38W_mean,12427904.261161804
WS_100W_mean,6026479.02645874
WS_69W_mean,4259961.161331177
P_now,2019754.0375976562
WS_100_mean,1477912.6794509888
WS_100E_mean,1222864.097984314
ws_rmax_60,994952.8938217163
hour_sin,805656.182548523
hour_cos,367440.03869628906
WD_97_sin,251992.750289917
doy_sin,225691.42952728271
doy_cos,197335.18432998657
WD_97_cos,179573.03131103516
RH_95_mean,151150.23447036743
AT_95_mean,142387.22813796997
ws_rmax_180,141522.76754760742
WS_100E_std,109412.53769683838
ws_rmin_360,109410.89782333374
BP_93_mean,105799.64923095703
air_density,102709.42571258545
ws_slope_360,81557.7329788208
ws_rmax_360,77569.14686965942
WS_100E_gust_factor,66438.55876922607
ws_rmean_360,56812.601150512695
ws_rmin_180,53914.284812927246
ws_rstd_180,48216.16498565674
ws_rstd_360,40571.87919616699
ws_slope_180,37746.96612548828
ws_diff_180,28756.56512451172
ws_rstd_60,28625.554405212402
WD_97_sigma,27977.290573120117
shear_alpha,26228.379402160645
ws_slope_60,22627.54891204834
ws_diff_60,21075.00286102295
ws_lag10,20173.17310333252
ws_rmean_180,17295.694297790527
ws_rmin_60,12107.592025756836
ws_lag180,9870.388465881348
ws_rmean_60,8714.766563415527
WS_100E_ti,6489.10107421875
ws_lag60,3942.239990234375
ws_lag20,3884.3078384399414
ws_lag120,3303.9613342285156
ws_lag30,1217.7173080444336
