feature,gain
P_now,112536.31149458885
WS_100W_mean,26542.991117179394
WS_69W_mean,9960.294843196869
WS_100E_mean,7299.5504215061665
WS_100_mean,6694.107789367437
WS_38W_mean,1502.2022868096828
hour_cos,842.9467264413834
hour_sin,774.2459865510464
ws_rmin_60,563.2016630470753
WD_97_sin,511.5446440279484
WD_97_cos,434.1483751088381
WS_100E_gust_factor,407.1483337134123
doy_cos,379.130412787199
RH_95_mean,293.9336037635803
WS_100E_std,273.35229130089283
AT_95_mean,273.19773203134537
ws_rmax_180,259.1490436196327
doy_sin,253.41554862260818
ws_rmin_180,227.74344846606255
BP_93_mean,207.91707944869995
ws_slope_360,188.97871586680412
air_density,186.1905838549137
ws_rmax_360,180.2004037797451
ws_rmean_360,178.1473267674446
ws_rmin_360,175.60613790154457
ws_rmax_60,153.49719059467316
ws_rmean_180,135.3507837355137
WD_97_sigma,129.75066655874252
ws_rstd_180,126.09369045495987
ws_rstd_60,119.76047196984291
ws_lag20,113.04673230648041
shear_alpha,108.06940364837646
ws_rstd_360,83.3728708922863
ws_lag30,77.37171065807343
ws_rmean_60,76.27190089225769
ws_diff_60,71.48053497076035
ws_lag10,69.01335223019123
ws_slope_180,68.61366456747055
ws_lag120,65.4440024793148
ws_slope_60,64.28512382507324
WS_100E_ti,58.84204776585102
ws_lag180,55.679828226566315
ws_diff_180,48.27678897976875
ws_lag60,40.529795080423355
