feature,gain
WS_69W_mean,16504074.280303955
WS_100W_mean,6150632.87449646
WS_100E_mean,4149261.0988464355
WS_100_mean,2002035.4833259583
WS_38W_mean,1667899.1979789734
P_now,1196491.4729690552
ws_rmax_60,232764.6420841217
hour_sin,94043.20470619202
hour_cos,87480.40406990051
WD_97_cos,66826.98093795776
WD_97_sin,58897.71479034424
WS_100E_gust_factor,55239.917682647705
WS_100E_std,50371.47727012634
ws_rmax_180,45307.21035003662
doy_cos,34346.65641593933
doy_sin,33533.8918762207
ws_slope_360,29760.55863761902
AT_95_mean,26809.77751350403
air_density,26019.324863433838
RH_95_mean,25753.744981765747
ws_lag10,25649.46827316284
ws_rmin_360,20350.457859039307
BP_93_mean,18739.29130744934
ws_rmin_60,17090.851322174072
shear_alpha,15346.310935974121
ws_slope_180,15277.786186218262
WD_97_sigma,14801.754697799683
ws_rmin_180,14267.227041244507
ws_rmax_360,14250.456871032715
ws_rstd_180,13669.664770126343
ws_rstd_60,13576.572811126709
ws_slope_60,12489.426427841187
ws_rmean_360,11395.079452514648
ws_diff_60,10922.668752670288
ws_diff_180,10672.883237838745
ws_lag20,8930.511768341064
ws_rmean_180,8545.269222259521
ws_rstd_360,7906.289068222046
WS_100E_ti,6831.004997253418
ws_lag180,4479.790798187256
ws_lag60,4318.376356124878
ws_lag120,3979.8139877319336
ws_rmean_60,3684.5234184265137
ws_lag30,2113.7785034179688
