Model,Precision,Recall,F1_Score
Persistence,0.0,0.0,0.0
Ridge,0.37777777777777777,0.007391304347826087,0.014498933901918977
LightGBM Delta,0.40576923076923077,0.09173913043478261,0.14964539007092198
XGBoost Direct,0.41901408450704225,0.10347826086956521,0.16596931659693165
Optimal Stacking Ensemble,0.4163934426229508,0.11043478260869566,0.17457044673539518
