Horizon,Persistence_RMSE,LGBM_Delta_RMSE,Persistence_MAE,LGBM_Delta_MAE,LGBM_R2,Skill_Score (%)
10 min (+10m),0.5860423185053552,0.575111087250201,0.42151960730552673,0.4157579883912916,0.9875378822549051,1.8652631234947759
1 Hour (+1h),1.4685170415007034,1.454713812263671,1.0969027280807495,1.0925510580411504,0.9228451109333997,0.9399434154966801
3 Hours (+3h),2.5302800333400137,2.4522137803685524,1.902035117149353,1.8467432969445907,0.7930159774480681,3.085281152395314
6 Hours (+6h),3.5798935163634376,3.3868272540401474,2.7135891914367676,2.580781744467243,0.6217737736953637,5.393072767131146
