Horizon,Persistence_RMSE_MW,LGBM_Delta_RMSE_MW,Persistence_MAE_MW,LGBM_Delta_MAE_MW,Persistence_NMAE (%),LGBM_Delta_NMAE (%),LGBM_R2,Skill_Score (%)
10 min (+10m),0.4214644553751371,0.40604791196441037,0.15511588752269745,0.17847350002228474,3.102317750453949,3.5694700004456945,0.9587936382133939,3.6578513832215775
1 Hour (+1h),0.7986325721805665,0.7688804073206352,0.40118563175201416,0.4566203898071451,8.023712635040283,9.132407796142902,0.8545222699923376,3.7253883570884994
3 Hours (+3h),1.24482969069032,1.1298214342235848,0.6987243294715881,0.7707458048699042,13.974486589431761,15.414916097398084,0.6948851996221357,9.238874789607355
6 Hours (+6h),1.6312993535435432,1.4329462769250882,0.998219907283783,1.0245113307736256,19.96439814567566,20.490226615472512,0.5216058360654168,12.159207700756337
