Model,Ramp_Precision,Ramp_Recall,Ramp_F1_Score
persist,0.0,0.0,0.0
lgb_delta,0.3594864479315264,0.10956521739130434,0.16794401866044653
xgb_direct,0.33659730722154224,0.11956521739130435,0.17645171639396856
ensemble,0.3477051460361613,0.10869565217391304,0.16561775422325273
