Model,RMSE,MAE,Bias,R2
Standard Power Law (alpha=1/7),1.0510216760514353,0.9187402129173279,0.60520339012146,0.9581910371780396
Site-fitted Power Law (alpha=0.060),0.6796957432038748,0.48127108812332153,-0.23904991149902344,0.9825146198272705
LightGBM (Full Atmospheric State),0.5598446832926948,0.37863262277432047,0.0578123924973919,0.9881373595659881
