target,feature,gain,gain_pct
WS_100E_p01,WS_69W_mean,3459266.642521709,83.01
WS_100E_p01,WS_38W_mean,433532.11579686403,10.4
WS_100E_p01,WS_100_mean,201291.74698767066,4.83
WS_100E_p01,WD_97_cos,19776.432456582785,0.47
WS_100E_p01,WD_35_cos,16293.72081375122,0.39
WS_100E_p01,shear_alpha,9267.117795139551,0.22
WS_100E_p01,WD_97_sin,5787.546038448811,0.14
WS_100E_p01,hour_cos,3757.906132519245,0.09
WS_100E_p01,BP_93_mean,2619.271389812231,0.06
WS_100E_p01,AT_95_mean,2428.92772936821,0.06
WS_100E_p01,WD_35_sin,2345.6414756774902,0.06
WS_100E_p01,doy_sin,2286.233838021755,0.05
WS_100E_p01,doy_cos,2222.0843692421913,0.05
WS_100E_p01,air_density,1957.173781633377,0.05
WS_100E_p01,veer_97_35,1638.0737100243568,0.04
WS_100E_p01,RH_95_mean,1534.3799716830254,0.04
WS_100E_p01,hour_sin,1306.4815725386143,0.03
