feature,gain,horizon,category,gain_pct
ws_lag30,35.79305925965309,3h,風速現值與滯後,0.021510030771047864
ws_lag180,31.11645177006721,3h,風速現值與滯後,0.01869959843903154
ws_lag120,24.961841225624084,3h,風速現值與滯後,0.015000952250830016
ws_lag60,19.32919089496136,3h,風速現值與滯後,0.01161598085019645
P_now,89286.754355371,6h,風速現值與滯後,59.61757093899778
WS_100W_mean,30671.14770412445,6h,風速現值與滯後,20.47940186909844
WS_38W_mean,4731.510074257851,6h,風速現值與滯後,3.15927193834302
hour_sin,4278.593282997608,6h,時間週期與風向,2.8568553130846905
WS_100_mean,3246.7477259635925,6h,風速現值與滯後,2.167882730995703
WS_100E_mean,2039.518149852753,6h,風速現值與滯後,1.3618046580153884
hour_cos,1621.646483719349,6h,時間週期與風向,1.0827879787893637
ws_rmax_60,1541.5817815065384,6h,滾動趨勢與斜率,1.0293280552167825
doy_cos,1269.621996641159,6h,時間週期與風向,0.8477380547309938
WD_97_sin,1241.0641645789146,6h,時間週期與風向,0.828669732770734
doy_sin,1033.2922250628471,6h,時間週期與風向,0.6899385353757512
RH_95_mean,716.9343810081482,6h,氣壓/溫度/密度,0.4787035504532103
WD_97_cos,710.8276234865189,6h,時間週期與風向,0.4746260133943095
AT_95_mean,682.2313564419746,6h,氣壓/溫度/密度,0.45553202804981835
air_density,594.339816570282,6h,氣壓/溫度/密度,0.39684605440155357
BP_93_mean,572.2435066103935,6h,氣壓/溫度/密度,0.3820921490094881
ws_rmin_360,545.1647790074348,6h,滾動趨勢與斜率,0.36401143843307016
ws_rmax_360,525.6647103428841,6h,滾動趨勢與斜率,0.35099106676296643
WS_100E_std,520.8060425519943,6h,湍流與風切,0.34774689047070806
WS_69W_mean,492.02834409475327,6h,風速現值與滯後,0.328531761736079
ws_rmax_180,485.9568683505058,6h,滾動趨勢與斜率,0.324477782638055
ws_rmean_360,386.2261871099472,6h,滾動趨勢與斜率,0.25788670754992893
WS_100E_gust_factor,346.82237124443054,6h,湍流與風切,0.23157642441118104
ws_slope_360,308.188334107399,6h,滾動趨勢與斜率,0.20578012947016885
ws_rmin_180,278.0282570719719,6h,滾動趨勢與斜率,0.18564197409463917
ws_rstd_360,213.0982365012169,6h,湍流與風切,0.14228761391663686
shear_alpha,197.1221553683281,6h,湍流與風切,0.13162024049553223
ws_lag10,164.95177280902865,6h,風速現值與滯後,0.11013978599575054
WD_97_sigma,154.0847203731537,6h,時間週期與風向,0.10288375710130779
ws_rmin_60,116.525639295578,6h,滾動趨勢與斜率,0.07780522001355844
ws_rstd_180,110.88281458616255,6h,湍流與風切,0.07403745507643293
ws_lag20,100.94440948963164,6h,風速現值與滯後,0.06740149238363867
ws_rmean_180,92.79714208841324,6h,滾動趨勢與斜率,0.06196148847983561
ws_rstd_60,88.34074455499649,6h,湍流與風切,0.05898591166557027
ws_slope_60,75.13365960121155,6h,滾動趨勢與斜率,0.05016742195996613
ws_diff_180,71.17518824338913,6h,滾動趨勢與斜率,0.04752431494270705
ws_diff_60,58.44561392068863,6h,滾動趨勢與斜率,0.03902466339096274
ws_rmean_60,41.15214908123016,6h,滾動趨勢與斜率,0.02747766099076339
ws_slope_180,40.59608101844788,6h,滾動趨勢與斜率,0.027106369331444172
ws_lag30,34.37264060974121,6h,風速現值與滯後,0.022950922056768134
WS_100E_ti,34.07633453607559,6h,湍流與風切,0.022753075819731593
ws_lag180,19.511250019073486,6h,風速現值與滯後,0.013027837561335466
ws_lag60,18.04169774055481,6h,風速現值與滯後,0.012046604254719222
ws_lag120,7.644629836082458,6h,風速現值與滯後,0.0051043882695195
WS_100_mean,96675.99007630348,24h,風速現值與滯後,54.12839644629819
P_now,34927.53232169151,24h,風速現值與滯後,19.555748173949297
doy_cos,11354.915609717367,24h,時間週期與風向,6.3575596510771435
doy_sin,7601.030271649361,24h,時間週期與風向,4.2557782922049165
air_density,5535.2328016757965,24h,氣壓/溫度/密度,3.099148767705255
ws_rmean_60m,5363.00093626976,24h,滾動趨勢與斜率,3.002717019925632
hour_sin,2784.0730867385864,24h,時間週期與風向,1.5587883988104425
ws_rmean_720m,2768.8262617588043,24h,滾動趨勢與斜率,1.5502517788451173
ws_rmean_1440m,2109.740393638611,24h,滾動趨勢與斜率,1.1812329445553933
ws_rstd_1440m,2011.115976691246,24h,湍流與風切,1.1260136337875537
ws_rmean_360m,1726.0052845478058,24h,滾動趨勢與斜率,0.9663816035053903
ws_lag_1440m,1608.3494163751602,24h,風速現值與滯後,0.9005066797352187
hour_cos,1477.5379682779312,24h,時間週期與風向,0.8272660134981038
ws_rstd_720m,551.4030784368515,24h,湍流與風切,0.30872778657639965
ws_lag_720m,431.64551055431366,24h,風速現值與滯後,0.2416761317997152
ws_rmean_180m,405.4372817277908,24h,滾動趨勢與斜率,0.2270022774232804
ws_rstd_180m,333.3144506216049,24h,湍流與風切,0.18662107013630247
ws_rstd_360m,320.64701199531555,24h,湍流與風切,0.1795286355061346
ws_rstd_60m,219.05057895183563,24h,湍流與風切,0.12264530800189206
ws_lag_360m,166.05086994171145,24h,風速現值與滯後,0.09297103977278788
ws_lag_15m,107.71981120109558,24h,風速現值與滯後,0.06031177587331969
ws_lag_45m,49.89459991455078,24h,風速現值與滯後,0.02793573339743039
ws_lag_180m,34.68609976768494,24h,風速現值與滯後,0.01942057131164878
ws_lag_60m,21.74305009841919,24h,風速現值與滯後,0.012173823456579568
ws_lag_120m,19.997400045394897,24h,風速現值與滯後,0.011196442846854
ws_lag_30m,0.0,24h,風速現值與滯後,0.0
