feature,gain
WS_100W_mean,11723366.159622192
WS_69W_mean,6496772.605163574
WS_38W_mean,5636867.556503296
P_now,1668291.360031128
WS_100E_mean,881727.8528442383
hour_sin,721744.5003967285
ws_rmax_60,676139.9069213867
WS_100_mean,609458.3182373047
hour_cos,206948.03219604492
doy_sin,178362.57949066162
WD_97_sin,166860.6982269287
doy_cos,163958.78797912598
WD_97_cos,121048.07788848877
RH_95_mean,110857.55074310303
AT_95_mean,95464.86315917969
ws_rmax_180,90001.14474487305
WS_100E_std,85252.09197998047
air_density,75532.31926727295
BP_93_mean,67177.93981170654
ws_rmin_360,65639.42905426025
ws_rmax_360,57945.58711242676
WS_100E_gust_factor,48793.22817993164
ws_slope_360,48070.17582702637
ws_rmean_360,41596.64951324463
ws_rstd_180,29799.04416656494
ws_rmin_180,28239.51587677002
ws_rstd_360,28202.276725769043
WD_97_sigma,24307.281448364258
ws_lag10,22156.890258789062
ws_slope_180,19451.242965698242
ws_rstd_60,18848.47543334961
ws_slope_60,15416.134902954102
ws_diff_60,13965.698448181152
ws_diff_180,13869.954734802246
shear_alpha,12383.446601867676
ws_rmean_180,5582.810974121094
ws_rmin_60,5036.100936889648
ws_lag20,3431.8470153808594
ws_rmean_60,2865.1939086914062
ws_lag180,2771.4729766845703
WS_100E_ti,2621.151985168457
ws_lag30,1127.0809631347656
ws_lag120,913.1350021362305
ws_lag60,380.7989959716797
