feature,gain
WS_100_mean,96675.99007630348
P_now,34927.53232169151
doy_cos,11354.915609717369
doy_sin,7601.030271649361
air_density,5535.2328016757965
ws_rmean_60m,5363.00093626976
hour_sin,2784.0730867385864
ws_rmean_720m,2768.8262617588043
ws_rmean_1440m,2109.740393638611
ws_rstd_1440m,2011.115976691246
ws_rmean_360m,1726.0052845478058
ws_lag_1440m,1608.3494163751602
hour_cos,1477.5379682779312
ws_rstd_720m,551.4030784368515
ws_lag_720m,431.64551055431366
ws_rmean_180m,405.43728172779083
ws_rstd_180m,333.3144506216049
ws_rstd_360m,320.64701199531555
ws_rstd_60m,219.05057895183563
ws_lag_360m,166.05086994171143
ws_lag_15m,107.71981120109558
ws_lag_45m,49.89459991455078
ws_lag_180m,34.68609976768494
ws_lag_60m,21.74305009841919
ws_lag_120m,19.997400045394897
ws_lag_30m,0.0
