month,平均出力_MW,容量因數_pct,平均風速_ms,月
1,2.980317793988599,59.606355879771975,11.461602,1月
2,2.513945004111978,50.27890008223955,10.279802,2月
3,1.8685488900178406,37.37097780035681,8.541827,3月
4,1.3809385984716116,27.61877196943223,7.1630073,4月
5,0.8448722411710885,16.897444823421772,6.0867853,5月
6,0.9209246843929307,18.418493687858607,6.6696525,6月
7,0.7359078259471633,14.718156518943267,5.9374685,7月
8,0.5631574129968884,11.263148259937768,5.2593303,8月
9,1.2796907438111438,25.593814876222876,7.045561,9月
10,2.616161885830522,52.323237716610436,10.6367,10月
11,2.7853661393592586,55.70732278718518,11.607176,11月
12,3.1502006568646745,63.00401313729349,13.554723,12月
