month,hour,P_clim
1,0,0.6020075678245009
1,1,0.5834165167782741
1,2,0.597791147200526
1,3,0.5928380293496479
1,4,0.6317837741706384
1,5,0.6617812272117359
1,6,0.6812571223814461
1,7,0.6937145184928003
1,8,0.6935473597080659
1,9,0.7345488663054467
1,10,0.7821315178498672
1,11,0.7744572766077213
1,12,0.8032027903528236
1,13,0.8422928015418063
1,14,0.8573909672891287
1,15,0.8482124850211654
1,16,0.8613193651223319
1,17,0.8562895338116574
1,18,0.8228865449212983
1,19,0.7950960094582376
1,20,0.7562105522374067
1,21,0.6985310670606464
1,22,0.6656186160421222
1,23,0.6191326528138222
2,0,0.6370136381317258
2,1,0.6418113053508733
2,2,0.6342763038234843
2,3,0.6224127301478347
2,4,0.6648386482356055
2,5,0.6899875466045055
2,6,0.6830162153890195
2,7,0.6777733444704082
2,8,0.6779467935132585
2,9,0.6774913237678087
2,10,0.6807980994411261
2,11,0.7075289430231959
2,12,0.7370277501905316
2,13,0.7591824518734769
2,14,0.7679448308979809
2,15,0.7784943534344565
2,16,0.7638355231456957
2,17,0.7435996652856838
2,18,0.7172461168340167
2,19,0.6902794029102894
2,20,0.6711220572121325
2,21,0.644057536491668
2,22,0.6041828052072056
2,23,0.5982895522855983
3,0,0.38460410370383885
3,1,0.39338577898641613
3,2,0.3933985058435481
3,3,0.41506460260547723
3,4,0.448995200178121
3,5,0.44326296959988426
3,6,0.4502569412253774
3,7,0.41620164641225715
3,8,0.4065760178827377
3,9,0.4433572194286179
3,10,0.47528354267157014
3,11,0.5149098614696512
3,12,0.5519537505650873
3,13,0.5601016970918494
3,14,0.61396551373242
3,15,0.6367045495669372
3,16,0.6536807281207723
3,17,0.6445019336335897
3,18,0.6186024332605929
3,19,0.5810075400497517
3,20,0.5145454043927249
3,21,0.4646899596239903
3,22,0.44055223588521264
3,23,0.4321306164585284
4,0,0.28229844224400275
4,1,0.285813231537495
4,2,0.2849259188682901
4,3,0.2834213088130756
4,4,0.2873733184150453
4,5,0.2883374780001566
4,6,0.276072940210978
4,7,0.25582276204489807
4,8,0.24842688342464125
4,9,0.2655169019867742
4,10,0.3031072237769909
4,11,0.3441218728647468
4,12,0.38794537370133175
4,13,0.3949019102491739
4,14,0.39766363462918264
4,15,0.39548257889335303
4,16,0.37484116785300015
4,17,0.35527623909010236
4,18,0.33361341114730025
4,19,0.3084061227332789
4,20,0.28372554167155817
4,21,0.2856304624938961
4,22,0.2674515114118943
4,23,0.273837776343788
5,0,0.20804050922671663
5,1,0.20772778931330246
5,2,0.1921873839422551
5,3,0.19583149614661152
5,4,0.20452413213893328
5,5,0.2053618196763717
5,6,0.19488834007138073
5,7,0.1884878592577727
5,8,0.216988205277156
5,9,0.2603449689103954
5,10,0.3111165048605565
5,11,0.34786152451154395
5,12,0.38875248298172616
5,13,0.41015356681011705
5,14,0.40796711001972313
5,15,0.40499900779927683
5,16,0.41060778248250684
5,17,0.3930700633314637
5,18,0.3681684109000924
5,19,0.3143639196930803
5,20,0.28059911925822356
5,21,0.239155219545208
5,22,0.22581235852233392
5,23,0.21500101426347626
6,0,0.2649149700841984
6,1,0.2396713210564399
6,2,0.2593803942920788
6,3,0.27283250869388675
6,4,0.27115217063404323
6,5,0.2673208440095026
6,6,0.25235015904244623
6,7,0.27155713108773794
6,8,0.3031217563324749
6,9,0.35850479209671554
6,10,0.4101360724507533
6,11,0.45571201312564236
6,12,0.48361531596498314
6,13,0.49896973899994407
6,14,0.495076619952465
6,15,0.46262358206782045
6,16,0.399161042929178
6,17,0.3562101791096002
6,18,0.3191821286241284
6,19,0.2866557927376042
6,20,0.27044091014084126
6,21,0.24632513470721065
6,22,0.24474388696380503
6,23,0.2510892009525369
7,0,0.16021363789142662
7,1,0.1701657060858621
7,2,0.17517968952825247
7,3,0.16041705646686077
7,4,0.15701431096786692
7,5,0.15918447040104253
7,6,0.14989537524696847
7,7,0.15807572542927062
7,8,0.17445679661317912
7,9,0.22217823887183072
7,10,0.26657952094560367
7,11,0.2808162162837328
7,12,0.3407510045206844
7,13,0.36039124164311925
7,14,0.348497228072134
7,15,0.34631141791057535
7,16,0.30785163275150074
7,17,0.29106490920356876
7,18,0.25470005609426905
7,19,0.2373050765184534
7,20,0.2082281742250893
7,21,0.18202622070715171
7,22,0.18673577751581918
7,23,0.17666228576326123
8,0,0.14447442020760407
8,1,0.1312663008740327
8,2,0.11923447762846474
8,3,0.11407214360540566
8,4,0.11053819287550165
8,5,0.114892956889622
8,6,0.11587005755886735
8,7,0.11436043740980036
8,8,0.12382610856263379
8,9,0.147607794475219
8,10,0.18481694075995667
8,11,0.24106311820620213
8,12,0.2816049585240687
8,13,0.3385029087185737
8,14,0.35872053313988184
8,15,0.3603265386869587
8,16,0.32710063519750326
8,17,0.30657106931897915
8,18,0.27289607018150563
8,19,0.23476436642656992
8,20,0.19091246948196855
8,21,0.15767434246903228
8,22,0.14917354211105532
8,23,0.1574461788871002
9,0,0.24070635141049768
9,1,0.2319814441175068
9,2,0.24248620937414597
9,3,0.24257419348595735
9,4,0.24914048676361156
9,5,0.26622780546809033
9,6,0.26561838314964975
9,7,0.25447442070075993
9,8,0.2629003691950849
9,9,0.2946608409214045
9,10,0.3412351700652814
9,11,0.38392831997806615
9,12,0.41367927987248854
9,13,0.44252445101391014
9,14,0.4538722900983721
9,15,0.4458470705717979
9,16,0.42671288475280567
9,17,0.4342467218508195
9,18,0.40824649172821903
9,19,0.37884399233107013
9,20,0.34165613906403053
9,21,0.3211588957263181
9,22,0.29964026093834345
9,23,0.283679935241683
10,0,0.4849212725117388
10,1,0.46371701376600283
10,2,0.46161914887760624
10,3,0.46401131882941815
10,4,0.46157481704054765
10,5,0.4726362357641142
10,6,0.4855508619110047
10,7,0.46572608120505066
10,8,0.4848579028516066
10,9,0.51769522580298
10,10,0.5833153771342097
10,11,0.6292679985840166
10,12,0.6480981035654643
10,13,0.667231998821839
10,14,0.6826953143222443
10,15,0.7005276493332515
10,16,0.7042525368021025
10,17,0.689122886673248
10,18,0.6759514201452821
10,19,0.6521565413687864
10,20,0.6335274258615916
10,21,0.5899755299100856
10,22,0.5507912679532936
10,23,0.5192385536655711
11,0,0.5078053146813987
11,1,0.5030559343563099
11,2,0.4817174262836052
11,3,0.4958721762350719
11,4,0.5155195378175869
11,5,0.5117056831137583
11,6,0.5061636838367847
11,7,0.5283185863287787
11,8,0.5250490224999124
11,9,0.5611253075735712
11,10,0.5720373049440444
11,11,0.6176814937419148
11,12,0.6643282673980372
11,13,0.6958181124
11,14,0.7097507823441153
11,15,0.7105434167358577
11,16,0.72176158138898
11,17,0.6941138490748694
11,18,0.6795446331713509
11,19,0.6493021411051625
11,20,0.6063864191411614
11,21,0.5609039077762655
11,22,0.5205416725585783
11,23,0.5019405738733829
12,0,0.6072583655414775
12,1,0.5860855970762933
12,2,0.595659683618662
12,3,0.6097172565668301
12,4,0.6129849790671552
12,5,0.6396399119791482
12,6,0.658704349435561
12,7,0.645364374573024
12,8,0.6320503488807613
12,9,0.63954776189763
